Category,Crime
Violent Crimes,FELONY SEX CRIMES
Violent Crimes,FELONY ASSAULT
Violent Crimes,ROBBERY
Violent Crimes,RAPE
Violent Crimes,"HOMICIDE-NEGLIGENT, UNCLASSIFIED"
Violent Crimes,MURDER & NON-NEGL. MANSLAUGHTER
Violent Crimes,HOMICIDE-NEGLIGENT-VEHICLE
Violent Crimes,SEX CRIMES
Violent Crimes,ASSAULT 3 & RELATED OFFENSES
Violent Crimes,KIDNAPPING & RELATED OFFENSES
Violent Crimes,KIDNAPPING
Violent Crimes,KIDNAPPING AND RELATED OFFENSES
Violent Crimes,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
Theft and Larceny,OTHER OFFENSES RELATED TO THEFT
Theft and Larceny,GRAND LARCENY
Theft and Larceny,PETIT LARCENY
Theft and Larceny,THEFT-FRAUD
Theft and Larceny,GRAND LARCENY OF MOTOR VEHICLE
Theft and Larceny,PETIT LARCENY OF MOTOR VEHICLE
Theft and Larceny,THEFT OF SERVICES
Theft and Larceny,OFFENSES INVOLVING FRAUD
Theft and Larceny,OTHER OFFENSES RELATED TO THEF
Property Crimes,BURGLAR'S TOOLS
Property Crimes,BURGLARY
Property Crimes,ARSON
Property Crimes,CRIMINAL MISCHIEF & RELATED OFFENSES
Property Crimes,POSSESSION OF STOLEN PROPERTY
Property Crimes,MISCELLANEOUS PENAL LAW
Property Crimes,CRIMINAL TRESPASS
Property Crimes,UNAUTHORIZED USE OF A VEHICLE
Drug and Alcohol-Related Offenses,CANNABIS RELATED OFFENSES
Drug and Alcohol-Related Offenses,ALCOHOLIC BEVERAGE CONTROL LAW
Drug and Alcohol-Related Offenses,INTOXICATED & IMPAIRED DRIVING
Drug and Alcohol-Related Offenses,INTOXICATED/IMPAIRED DRIVING
Drug and Alcohol-Related Offenses,DANGEROUS DRUGS
Drug and Alcohol-Related Offenses,UNDER THE INFLUENCE OF DRUGS
Drug and Alcohol-Related Offenses,LOITERING FOR DRUG PURPOSES
Public Order and Administrative Offenses,OFFENSES AGAINST PUBLIC ADMINI
Public Order and Administrative Offenses,OFF. AGNST PUB ORD SENSBLTY &
Public Order and Administrative Offenses,DISORDERLY CONDUCT
Public Order and Administrative Offenses,LOITERING
Public Order and Administrative Offenses,GAMBLING
Public Order and Administrative Offenses,"LOITERING/GAMBLING (CARDS, DICE)"
Public Order and Administrative Offenses,OFFENSES AGAINST PUBLIC ADMINISTRATION
Public Order and Administrative Offenses,ADMINISTRATIVE CODE
Public Order and Administrative Offenses,ADMINISTRATIVE CODES
Public Order and Administrative Offenses,NEW YORK CITY HEALTH CODE
Public Order and Administrative Offenses,AGRICULTURE & MKTS LAW-UNCLASSIFIED
Public Order and Administrative Offenses,OTHER STATE LAWS
Public Order and Administrative Offenses,OTHER STATE LAWS (NON PENAL LAW)
Public Order and Administrative Offenses,DISRUPTION OF A RELIGIOUS SERV
Public Order and Administrative Offenses,ESCAPE 3
Fraud and Financial Crimes,FORGERY
Fraud and Financial Crimes,FRAUDS
Fraud and Financial Crimes,FRAUDULENT ACCOSTING
Fraud and Financial Crimes,ANTICIPATORY OFFENSES
Weapons and Dangerous Offenses,DANGEROUS WEAPONS
Weapons and Dangerous Offenses,UNLAWFUL POSS. WEAP. ON SCHOOL
Family and Personal Offenses,PROSTITUTION & RELATED OFFENSES
Family and Personal Offenses,JOSTLING
Family and Personal Offenses,HARRASSMENT 2
Family and Personal Offenses,OFFENSES AGAINST PUBLIC SAFETY
Family and Personal Offenses,OFFENSES AGAINST THE PERSON
Family and Personal Offenses,OFFENSES AGAINST MARRIAGE UNCL
Family and Personal Offenses,OFFENSES RELATED TO CHILDREN
Family and Personal Offenses,CHILD ABANDONMENT/NON SUPPORT
Family and Personal Offenses,ABORTION
Negligence and Careless Acts,ENDAN WELFARE INCOMP
Negligence and Careless Acts,DISRUPTION OF A RELIGIOUS SERVICE
Miscellaneous and Specific Offenses,OTHER STATE LAWS (NON PENAL LA
Miscellaneous and Specific Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
Miscellaneous and Specific Offenses,FORTUNE TELLING
Miscellaneous and Specific Offenses,NYS LAWS-UNCLASSIFIED VIOLATION
Miscellaneous and Specific Offenses,NYS LAWS-UNCLASSIFIED FELONY
Miscellaneous and Specific Offenses,CRIMINAL MISCHIEF & RELATED OF
Traffic,VEHICLE AND TRAFFIC LAWS
Traffic,OTHER TRAFFIC INFRACTION